dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist
111,112,121,122,123,124,131,133,141,142,211,221,231,242,243,311,312,313,322,324,331,412,423,511,512,523
1020.03327291585,564.6097999534467,117.2201484691565,,,,,,,,,,,1253.53943076388,922.008813063646,934.164040588688,,,,,,,,55.2626566693585,,
,230.733941761742,1457.20943838533,,,,,,,,,,195.472480466665,1016.9020127700785,1105.48981662763,731.014918287365,748.0121958257487,822.5943457187317,,,,,,,,
,,,,,,,,,,,,,,,1086.20220142369,0.0,781.929480735367,,,,462.433521545581,,,,
,,,,,,,,,,,,1193.174293870115,,,648.1688874486185,2.47125017945605,656.8108403800378,,,,365.900870716593,,,,
,,,,,,,,,1223.36865421085,,,301.686589996353,,,17.2877190209584,853.1775516367945,1384.17910234193,,760.607640258828,,0.0,,,,
,10.4160471262646,311.589696811956,,,,,,,,870.0148808181445,,,939.5994952644993,,376.602590673412,,398.693442674755,,,,,,,,
,136.27430090514,,,,,,,,794.061656144034,698.9749753376065,,1198.6422938538872,815.34305345924,,,1249.45971417615,517.422814708067,,,,,,,,
224.426137524886,0.0,,,,,,,,724.009475607691,1164.6997219021587,,474.872369109748,1209.6513334082802,575.789047070492,,,,,,663.948530917512,,844.097621683409,,,984.07639841379
701.369556326709,0.0,1169.09058993813,,,,,,,1132.87656825365,601.2569077297455,,1037.7126396301744,617.310949177249,64.2011173285567,,,,,,1491.36839309045,,,,,
,731.6086031655428,,,756.318161089015,,,,,,0.0,,758.777515573412,475.611770034491,,,,,,,,,,669.86424692184,,
,531.313737850755,,585.998615258422,1186.40881416034,,,,,,288.860277849019,,928.3913843170326,583.345455302605,,,,,,,825.676022475835,,1041.45556463847,1142.54336700881,1302.27247254179,1217.2243288662
,1096.9945964230878,694.110957407234,551.599485677385,,,,,,,597.1693149263496,,574.4682856428633,1023.2304549004394,1297.95629505062,317.37680395901,,1036.79454397949,,,,,,152.035270163793,,
,1190.29847276201,,,,,,,,,,,908.024568255178,947.313295689361,,613.9135627365231,670.269311364699,0.0,,1272.41550882662,,,,,,
,23.7288293966762,,,,,,,,,883.4371089676,,,487.02752100651895,783.402998513954,896.567272655197,,,,,,,,,,
,118.766273627396,,,,,,,,324.832752692619,910.84618161845,,381.929258541811,411.7152456760503,,1181.266491610094,,,,,,,,,,
,1050.7773006859782,,1339.69403105538,,,,,,,85.282913931737,,,1104.8268407452865,672.868563188555,,,,,,,,,,,
,346.805187679282,,,,,47.4689297643832,,,,901.9386647536572,,1118.2368798111313,640.1612816631485,589.6969854341216,186.426297435342,,,,,,,,,,
,0.0,,,,,,,,,1157.179684905296,,,508.189035286864,976.5959674436194,,,1231.847783120425,,,,,,,,
,1053.44856911309,,,,,0.0,,,1395.01118401918,714.8175101757,,1057.8185714426857,853.8979431708134,1224.30872114485,396.084173251576,827.775439558233,332.6009999598359,,,,,,,,
,617.9608168845295,4.41978747977676,,,,,,,,136.891432454814,,,1053.897523749677,1415.05873636065,,,,,,,,,,,
,0.0,1007.36932328694,574.639125535894,,,,,621.043909005546,1163.13585495787,,,,,,1091.13850733971,,,,,,,,,,
,1023.6750213995978,0.0,950.442679286266,,,,,,,,,,,1340.89784745569,,,,,,,,,,,
714.336707944379,706.5230966455374,0.0,273.824287146896,,,,,812.7693604755523,,,,,,,,,,,,,,,279.786650782268,,
,383.66682327584095,537.47672067494,589.9958687352146,,,,,,,1387.42081033075,,,1078.6937825094,427.418125643115,,,,,,,,,,,
,0.0,1095.3563107436705,478.008118545871,,,,,,,750.066019475417,,,781.394830048784,1223.77964814798,,,,756.937181905718,,,,,,,
,931.972450538624,,810.219753196719,,,,,,,720.2111806721138,,1031.699552876767,1220.14355245464,0.0,,,,,,,,,,,
208.2328816843905,65.4778942556247,304.285917135507,1295.26011058991,,,,,1189.56938482958,,,,,,,,,,,,,,,,,
,1123.83106553029,,,,,,,,,,165.480031411921,,1083.35232522183,,0.0,,1247.50151342837,,,,,,,,
,887.410403737106,,,,,,,,,1182.44050985482,,,836.8199643848525,,0.0,516.492586974914,362.7059340958155,,,,,,,,
,741.88320407904,,,,,,,,,983.41858432396,,814.2524710248331,1084.94258911178,,95.9380826110068,,,,,,,,,,
,,,,,,,,,,,,0.0,936.8849691092264,1268.1187672824,37.4666084083759,1370.2168014824802,,,,,,,,,
,,,1123.59110408515,,,,,,,,,686.2419473539217,798.9925204315584,1381.04493566125,788.8160923036409,577.036455559751,808.032879120285,,,,,,,,
,421.325800076651,,,,,,,,,,,911.647839986676,750.6491391057824,,489.517765930757,,,566.8607211781027,932.499726645429,,,,,,
,395.1721490907065,,,,,,,,,,,645.1661532677198,1188.976727358725,420.03949266686,727.4367394753757,772.7457313938124,,730.340474119817,1210.89670337947,,,,,,
,,,,,,0.0,,,,,,,,,102.771173124992,632.6007140815991,,,,,,,,,
,1006.805798692033,,,,,,,,,977.335681124117,,74.6438419368161,714.7618909765238,,,,,,,,,,,,
,324.024583037335,904.824193916455,788.697525492674,,,,,,353.879794449747,796.263877668642,,,0.0,,1042.8593569350635,,,,,,,,,,
,567.271756943785,,,,,,1214.72952130656,,499.15009994261266,257.7549373784,,,13.0319352959557,,1005.84599075828,,,,,,,,,628.001433156446,
,15.7678571686801,,,,,,,,,208.554987346418,983.1732906769661,527.785504532955,532.0969129523268,1344.16456753103,950.022313046391,,437.157392968307,,,,,,,,
,,323.64803992209,,,,,,,,563.3129774260728,,958.0671899776389,,,740.611303216365,,,,1408.4996618118,,,,,614.506747912743,
,,,588.97210875208,,,,,,,674.471934821289,,,,,187.418098892139,,,,560.243326192692,,,,,,
,1052.83282232892,,,,,,,,,0.0,,484.159842149851,1102.2430054747,,286.43523220838597,,,,,,,,,,
,1053.62646746045,,,,,392.579026469866,744.76073746808,,0.0,224.912039272783,,,960.4569184655272,,535.332465450829,,,,,,,,,,
,1171.0739204754548,,,,,,,,,1492.08377450535,,570.10130184504,,,330.139959660551,,,,,,,,,,
,1276.55732807402,,,,,,,,,220.964855614262,,225.400463829,657.5208297677221,,948.8921122049466,799.6071523546683,721.4885603010883,575.488965381116,1456.46167566096,,,,,,
,,,,,,,,,,,,207.968262310954,390.388910144716,,0.0,888.468488896823,1125.13348475281,,1404.41497295547,,,,,,
,707.582072273614,0.0,322.863130525412,782.3571326442304,,,,,,,,,,,,,,1406.98671503625,,1286.78106715444,,1422.23586029741,,978.60221647103,
,1400.136257929865,851.360821877893,1145.97324651252,,,,1361.47735837713,,,409.703103231989,,1064.4137012107956,1305.28388960971,,999.9003063221784,,1001.95691694121,,,,,,,,
,,0.0,261.742711865909,,,,,698.719632933124,1389.07397482522,80.9728049718471,,,,,,,,,,,,,,,
,865.4693950491885,912.971939095711,,,668.208718865703,,,,1017.35957575564,0.0,,,,,,,,,,,,,,,
,695.345867548211,,,,,,,,0.0,,,,1078.16600297124,,,,,,,,,,,634.904247595342,
,982.7794447802356,699.5687510794083,,,,1035.58796995984,,,,107.807445205043,,,,,,,,,325.7901497838305,,,,,,
,7.54779867160318,515.75744856572,,,,,,,,485.785182041902,,,,,,,,,,,,,,,
,875.060363831154,,,,,,,,,0.0,,,575.579458130778,,788.7755408598779,,,,,,,,,,
,547.4143342533192,1232.6168513266,,,,,,,,767.9962706022574,,668.1778802296585,,,394.508665191952,,,,,,,,,,
,1006.08540877349,,,,,,,,,223.1775062898565,,,1445.61752608922,,778.5115401483306,,,,,,,,,,
772.4784529892581,0.0,718.465728803556,366.853262631868,,,,,1344.78045163808,,,,,,,,,,,,,,,,,
,636.664548598854,17.2345480040175,1076.18616837163,,,,,,,,,1463.75924504192,1177.3897010343148,,718.018835488705,1115.4310516075336,794.33116093933,,,,,,,,
,737.5498419135914,0.0,,,,,,,1094.9912768192,512.6492097533719,,940.1758249026645,875.380469425898,,724.045683499375,,,,,,,,,,
,,990.596850152656,,,,1066.57632979288,,,,516.22105156752,,,,703.989613542274,1011.4590139581583,335.968442891303,,,764.8744638265956,,,,,1020.2720356603265,
,,,,,,,,,,502.079084240835,,,,,,179.948759823791,1456.73347744665,,842.4989210015603,,,,,,
,751.533157247458,344.51752319131,1444.90922388286,,,,,,,0.0,,,,,,,,,,,,,,,
,0.0,,,,,,,,,559.1274860407254,,38.517188706424,,,959.229800632278,,,,,,,,,,
