dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist
1,2,3,4,5,11,12,13,14,21,22,23,24,31,32,33,41,42,51,52,111,112,121,122,123,124,131,133,141,142,211,221,231,242,243,311,312,313,322,324,331,412,423,511,512,523
491.38382828575055,1087.774121913763,934.164040588688,,55.2626566693585,678.4656681940476,117.2201484691565,,,,,,1087.774121913763,934.164040588688,,,,,55.2626566693585,,1020.03327291585,564.6097999534467,117.2201484691565,,,,,,,,,,,1253.53943076388,922.008813063646,934.164040588688,,,,,,,,55.2626566693585,,
843.971690073536,833.691580658613,792.501379816565,,,230.733941761742,1457.20943838533,,,,,195.472480466665,1046.4312807225958,792.501379816565,,,,,,,,230.733941761742,1457.20943838533,,,,,,,,,,195.472480466665,1016.9020127700785,1105.48981662763,731.014918287365,748.0121958257487,822.5943457187317,,,,,,,,
,,662.515290723606,462.433521545581,,,,,,,,,,662.515290723606,,,462.433521545581,,,,,,,,,,,,,,,,,,,1086.20220142369,0.0,781.929480735367,,,,462.433521545581,,,,
,1193.174293870115,560.864626656692,365.900870716593,,,,,,,,1193.174293870115,,560.864626656692,,,365.900870716593,,,,,,,,,,,,,,,,1193.174293870115,,,648.1688874486185,2.47125017945605,656.8108403800378,,,,365.900870716593,,,,
1223.36865421085,301.686589996353,791.9240385534654,0.0,,,,,1223.36865421085,,,301.686589996353,,802.3628379850111,760.607640258828,,0.0,,,,,,,,,,,,,1223.36865421085,,,301.686589996353,,,17.2877190209584,853.1775516367945,1384.17910234193,,760.607640258828,,0.0,,,,
211.19848025005888,904.8071880413219,387.64801667408346,,,10.4160471262646,311.589696811956,,,870.0148808181445,,,939.5994952644993,387.64801667408346,,,,,,,,10.4160471262646,311.589696811956,,,,,,,,870.0148808181445,,,939.5994952644993,,376.602590673412,,398.693442674755,,,,,,,,
465.167978524587,891.6090998229582,883.4412644421086,,,136.27430090514,,,794.061656144034,698.9749753376065,,1198.6422938538872,815.34305345924,883.4412644421086,,,,,,,,136.27430090514,,,,,,,,794.061656144034,698.9749753376065,,1198.6422938538872,815.34305345924,,,1249.45971417615,517.422814708067,,,,,,,,
316.14520437752566,966.5605878001861,663.948530917512,844.097621683409,984.07639841379,112.213068762443,,,724.009475607691,1164.6997219021587,,474.872369109748,998.3639046290174,,,663.948530917512,,844.097621683409,,984.07639841379,224.426137524886,0.0,,,,,,,,724.009475607691,1164.6997219021587,,474.872369109748,1209.6513334082802,575.789047070492,,,,,,663.948530917512,,844.097621683409,,,984.07639841379
750.8341786296223,701.8093437541337,1491.36839309045,,,350.6847781633545,1169.09058993813,,1132.87656825365,601.2569077297455,,1037.7126396301744,432.94100522768485,,,1491.36839309045,,,,,701.369556326709,0.0,1169.09058993813,,,,,,,1132.87656825365,601.2569077297455,,1037.7126396301744,617.310949177249,64.2011173285567,,,,,,1491.36839309045,,,,,
739.8451224733668,493.75571424316115,,,669.86424692184,731.6086031655428,756.318161089015,,,0.0,,758.777515573412,475.611770034491,,,,,,669.86424692184,,,731.6086031655428,,,756.318161089015,,,,,,0.0,,758.777515573412,475.611770034491,,,,,,,,,,669.86424692184,,
